,k1,k2,
696,247.3941,226.66362,CNN
697,243.48389,237.24434,CNN
698,246.00836,224.97763,CNN
699,248.61307,243.3462,CNN
700,244.94101,243.13914,CNN
701,249.17299,246.37788,CNN
702,247.71565,245.79013,CNN
703,248.5532,245.0445,CNN
704,244.8809,247.885,CNN
705,243.07808,242.39949,CNN
706,249.32976,229.80254,CNN
707,242.61485,232.40163,CNN
708,237.28828,245.55208,CNN
709,236.6338,241.82784,CNN
710,242.2719,245.87935,CNN
711,249.82373,224.06953,CNN
712,244.60008,245.09749,CNN
713,247.7821,232.98883,CNN
714,242.23735,247.5828,CNN
715,249.03123,237.61485,CNN
716,240.04251,247.26932,CNN
717,244.63377,237.64102,CNN
718,248.9019,246.19836,CNN
719,244.55992,223.75755,CNN
720,243.51572,240.50089,CNN
721,244.46512,234.97017,CNN
722,248.15787,247.10313,CNN
723,243.14508,244.79727,CNN
724,248.83559,234.41698,CNN
725,234.13524,227.73427,CNN
726,249.16628,244.6402,CNN
727,242.52055,245.13884,CNN
728,248.94797,248.12744,CNN
729,239.56178,237.98215,CNN
730,242.83817,240.37369,CNN
731,248.7258,223.48819,CNN
732,247.68118,238.2293,CNN
733,234.98138,249.09676,CNN
734,246.80952,237.13477,CNN
735,248.81058,228.7047,CNN
736,247.15247,237.47809,CNN
737,244.66765,248.67566,CNN
738,244.15605,249.46054,CNN
739,249.9885,246.30742,CNN
740,244.40749,248.43063,CNN
741,249.73834,249.36934,CNN
742,247.86598,249.7766,CNN
743,249.58322,232.2065,CNN
744,248.59283,237.59497,CNN
745,247.98152,236.63533,CNN
746,241.69066,234.23683,CNN
747,245.40852,238.38628,CNN
748,242.49829,248.3052,CNN
749,246.20134,237.33354,CNN
750,247.37071,241.95381,CNN
751,248.80957,235.76917,CNN
752,244.99193,243.28868,CNN
753,245.16402,237.10504,CNN
754,249.46487,228.79837,CNN
755,248.73103,226.07591,CNN
756,245.06685,242.63351,CNN
757,248.74982,242.8807,CNN
758,248.14627,236.64128,CNN
759,239.99588,249.0486,CNN
760,248.62976,224.97078,CNN
761,245.28546,245.1017,CNN
762,249.28201,231.9806,CNN
763,232.67938,248.25613,CNN
764,249.77629,233.55936,CNN
765,244.87796,248.80736,CNN
766,247.8736,245.53731,CNN
767,248.02908,236.80794,CNN
768,247.53154,248.01794,CNN
769,246.09879,243.33089,CNN
770,247.48367,241.89082,CNN
771,249.90588,217.34752,CNN
772,244.49768,247.23096,CNN
773,249.27937,242.73865,CNN
774,248.03545,235.69516,CNN
775,243.33382,246.21977,CNN
776,244.67903,242.48453,CNN
777,245.47746,249.96785,CNN
778,247.95265,245.05199,CNN
779,247.5562,244.41864,CNN
780,248.23611,238.05962,CNN
781,249.28796,227.80946,CNN
782,245.76009,239.7637,CNN
783,247.9512,235.30597,CNN
784,247.26608,236.02779,CNN
785,244.23677,235.28355,CNN
786,244.42424,249.92487,CNN
787,248.68631,242.26332,CNN
788,245.4133,247.66394,CNN
789,242.48112,249.3823,CNN
790,248.94576,229.45287,CNN
791,245.51953,246.80992,CNN
792,247.9596,247.94771,CNN
793,246.46376,248.91562,CNN
794,248.74979,249.23651,CNN
795,245.91443,237.1087,CNN
796,238.40385,244.4783,CNN
797,241.34505,244.45363,CNN
798,245.00388,238.71887,CNN
799,244.62622,246.60866,CNN
800,248.38258,248.08029,CNN
801,249.14964,245.54489,CNN
802,248.55432,237.85283,CNN
803,240.25993,248.38933,CNN
804,248.52257,248.0736,CNN
805,247.8826,249.22818,CNN
806,248.52953,239.32263,CNN
807,246.90721,244.04979,CNN
808,246.2024,246.74042,CNN
809,246.19148,239.97154,CNN
810,242.91713,246.23502,CNN
811,249.4265,233.73615,CNN
812,244.04164,240.12073,CNN
813,248.89201,237.70709,CNN
814,249.76146,232.38391,CNN
815,246.7526,233.1376,CNN
816,249.64546,237.5558,CNN
817,248.81732,241.13266,CNN
818,243.52867,248.70503,CNN
819,240.4352,241.43182,CNN
820,246.40167,243.3931,CNN
821,247.26909,239.86243,CNN
822,248.71889,235.02037,CNN
823,249.77647,246.6873,CNN
824,248.014,238.25607,CNN
825,243.11403,246.39883,CNN
826,249.48837,225.83566,CNN
827,249.6798,247.02054,CNN
828,249.90887,238.6474,CNN
829,248.54678,238.85765,CNN
830,245.76602,248.27464,CNN
831,246.81699,245.99422,CNN
832,249.05399,224.56224,CNN
833,245.85005,247.56238,CNN
834,246.14378,243.0567,CNN
835,247.08139,235.56424,CNN
836,240.98265,247.24945,CNN
837,246.87274,232.97719,CNN
838,246.72682,249.88455,CNN
839,248.98302,248.57951,CNN
840,249.49762,241.27611,CNN
841,249.50883,243.16133,CNN
842,249.5741,229.84146,CNN
843,248.45284,245.63002,CNN
844,246.70204,248.64308,CNN
845,246.28925,234.33429,CNN
846,243.42007,245.05545,CNN
847,241.46887,244.75328,CNN
848,248.99129,227.90709,CNN
849,249.20613,220.0794,CNN
850,242.63028,238.94716,CNN
851,249.56842,229.43207,CNN
852,249.18367,246.07498,CNN
853,248.0276,248.18933,CNN
854,249.47203,239.27335,CNN
855,246.67674,243.60678,CNN
856,246.79318,239.51546,CNN
