,k1,k2,k3,a1,a2,a3,g1,g2,g3,n1,n2,n3,b1,b2,b3
85,237.5887,48.749996,236.39217,36.27962,33.578323,32.45885,2.9272099,0.40682656,3.5075786,4.793121,1.5559516,4.9154015,23.898258,43.272358,24.767017
86,202.78973,69.93308,213.43097,36.15403,21.459955,36.84977,4.282629,0.29381227,3.638152,3.0901194,2.0276418,4.878599,24.089186,46.146893,24.455307
87,244.95808,56.091896,216.51862,32.65779,30.429367,34.982452,2.5984483,0.4142082,3.2463977,4.8878064,1.7841533,4.572388,23.75575,40.926117,24.704933
88,232.61848,86.30984,191.58275,34.81453,22.391846,36.420773,1.4329307,1.3195742,4.576464,4.9972954,2.6743314,4.7596087,23.852026,41.971016,25.094927
89,233.22406,63.266922,218.55269,34.25771,27.606617,34.23049,1.8291397,0.031474333,2.6214266,4.4247093,1.737669,4.7027926,23.463982,39.80191,24.179062
90,208.26038,41.47135,209.27705,34.65082,36.62244,34.935165,2.2227058,0.13146868,3.494836,4.6789722,1.4979905,4.665904,23.875202,38.793076,24.825695
91,202.6777,59.82157,198.54874,36.046562,27.754528,38.77973,4.4355483,0.38364705,4.0849094,4.118742,1.566222,4.8760433,23.77685,42.30828,25.461544
92,233.45493,90.91079,198.3161,35.753975,22.559013,38.304764,2.0005827,0.15176925,4.7339554,4.6170387,1.9253783,4.5255947,24.581682,43.622936,25.990015
93,216.16422,82.64101,210.69568,38.598175,22.952984,38.444057,3.5948336,1.529347,4.0066953,3.8565986,2.8518257,4.7544985,23.476292,38.71384,24.581951
94,232.34836,83.23635,197.24692,37.60093,21.029701,39.4842,2.281178,0.8438889,4.5243115,4.075797,2.7368727,4.5452404,23.644726,46.129112,25.015173
95,232.51154,67.53393,199.83792,38.639175,29.342548,39.805695,3.734408,1.2835484,4.361597,3.8897107,2.5788507,4.529808,23.852943,40.123722,24.923752
96,232.73819,82.04529,220.1038,34.715782,20.68509,36.62857,4.447729,1.9303975,4.856502,4.839334,4.3137045,4.8253713,24.4106,40.9787,24.956966
97,226.69919,60.860397,239.74802,34.90925,30.605455,34.861637,3.555306,0.39148837,1.4561445,4.667761,1.6439346,4.575764,23.553429,41.429688,25.192461
98,246.17224,75.81199,229.60274,35.256702,21.393486,37.1719,3.05282,1.7070084,1.8898886,4.646352,2.9961267,3.7663116,23.872843,41.597965,25.174618
99,233.41402,37.350243,228.13731,34.034164,39.413555,34.647064,1.6714005,1.4238307,2.4702861,4.908024,1.9418883,4.6915627,24.087214,42.338585,24.139757
100,214.4017,82.336105,202.06282,38.254723,22.813583,36.62861,2.5522437,0.9386437,4.4912376,3.8460896,2.2495317,4.721511,24.023264,40.426746,25.672783
101,236.17407,43.702602,230.15561,38.668034,32.83837,36.95309,1.7812349,1.061696,1.2061714,4.6130714,1.2355146,4.1972547,24.030014,39.59277,24.68593
102,208.20201,57.956413,207.58905,38.346703,26.826138,39.035976,3.8123035,0.68217486,3.6981535,3.5967956,1.8408811,4.816908,24.24991,36.740154,25.069584
103,240.16539,65.301994,206.08266,33.373333,26.356956,38.195854,2.0091805,0.17824918,2.7603588,4.4462395,2.0000257,4.228021,24.229893,37.156574,25.016294
104,198.68619,64.941826,194.74532,39.314117,24.422018,39.039738,3.7181878,0.520517,4.6621027,3.4485118,1.8089597,4.887372,23.791378,38.637627,24.986383
105,214.14412,74.94861,190.71132,36.849,23.762909,39.426735,3.734975,0.05051601,4.426236,3.8094065,1.650038,4.5164156,23.709578,39.73893,24.616985
106,191.70364,74.91928,222.01643,39.00888,23.67346,37.313232,2.7098608,0.7012117,3.3936837,3.3484783,2.0197062,4.534713,24.33839,43.754974,24.351763
107,215.52596,83.07478,200.88235,35.48787,24.762823,36.893932,2.297506,0.7677558,3.4582934,3.9838886,2.4924579,4.6244097,23.779346,35.787697,26.143461
108,188.5993,65.175026,207.59436,39.554695,23.748192,39.566116,3.0981355,0.1210752,2.5311077,2.5159879,1.7881379,4.4538374,23.742075,40.05112,25.319096
109,247.63115,74.67345,235.8444,38.27826,20.232668,34.736687,0.70383227,1.540245,3.155042,4.2043753,2.8243103,4.9697084,24.157784,41.476807,25.261816
110,246.76863,80.98689,210.23927,37.755722,28.689482,39.30361,2.00987,1.9054148,3.0630298,4.426075,3.5250995,4.037051,23.545376,34.355644,24.97263
111,230.8956,76.44624,198.36674,34.382507,20.29086,39.56584,2.7433765,1.5302656,3.041357,4.890403,3.134823,4.069962,23.207958,39.304848,24.465567
112,236.55618,64.670334,227.56413,35.073498,26.279657,32.461105,3.292514,1.7796149,3.1059196,4.296976,2.1883965,4.930316,23.878056,38.30235,25.012905
113,210.14156,78.82487,217.63109,38.690483,24.019892,35.9198,3.8591132,1.7206511,3.6890988,3.3479185,2.7492394,4.947756,23.791481,40.180195,25.446274
114,212.84497,55.230858,211.75745,39.606663,32.21115,36.767937,3.5560358,0.51936275,4.6888456,3.010493,1.5597794,4.9330997,23.79209,45.2184,24.786354
115,238.01428,78.45818,215.38614,36.572723,22.025417,36.590874,1.8610193,1.5367393,4.549197,4.5788536,2.7105355,4.906688,24.138922,36.971344,24.860678
116,231.72408,79.53404,206.92625,35.339424,22.631462,37.996864,3.425691,1.4003252,3.0859873,4.069275,3.0402024,4.3613014,23.133188,43.8243,24.939926
117,202.87743,43.987907,201.11143,35.056454,31.494326,37.495625,4.1092114,0.5227952,3.4510052,4.073662,1.9105868,4.712751,23.478416,40.586174,24.639912
118,231.04636,78.21405,213.50507,37.230118,23.700401,39.609467,0.15914576,1.7172732,2.5832176,4.190073,3.1045156,4.258079,24.11947,39.634876,25.609608
119,204.41554,67.12593,207.68646,36.638466,23.319359,36.904785,2.003517,1.0464419,3.6658459,3.2617486,2.3908777,4.957153,23.916414,37.71964,25.316874
120,234.5148,57.815506,227.77066,36.52746,30.142519,34.218445,3.073234,0.16826658,3.0568504,4.5632877,1.5214565,4.801691,23.928724,41.6807,24.97512
121,237.10194,62.835804,207.1662,36.618553,20.465147,39.08349,1.9971348,0.095733985,2.8304176,4.6436205,1.6319325,4.3816,23.684998,39.77117,24.738817
122,217.79701,74.0637,200.02037,37.215233,24.722336,37.916325,2.6609852,0.26217365,4.3905635,3.5649605,2.0366836,4.641278,23.393293,38.19794,24.969975
123,226.26764,87.88531,205.21432,38.06978,21.367981,38.234047,2.353215,0.8308769,4.845738,3.7944808,2.6991982,4.908495,23.565443,43.43974,25.181068
124,203.95662,60.823853,227.35555,37.785885,27.292564,35.761154,4.90435,0.22399458,3.020123,3.0695345,1.7454937,4.793019,23.793148,45.497696,25.853666
125,232.98055,70.76423,214.76207,37.95443,25.880188,34.17429,1.4711053,0.542147,4.3399305,4.1026034,1.7180481,4.766401,24.398417,43.57269,26.065138
126,213.66003,61.752365,220.19955,35.69249,26.60841,35.86297,3.4867084,0.25160822,2.2752278,4.5744467,1.4956541,4.4943604,23.849066,41.779713,25.396109
127,247.4274,74.69053,226.54344,34.91187,20.047329,35.991753,2.2444413,2.593758,2.264536,4.996654,4.173442,4.190651,23.833637,38.30781,24.333014
128,204.9055,60.64641,214.75978,37.047466,20.637623,34.252872,1.4750268,0.18625158,2.1747754,3.3811536,1.9639177,4.611288,23.619137,39.981396,24.566069
129,227.13052,53.993168,200.4495,36.75527,36.854492,39.766678,2.4988043,1.1292655,3.6364775,4.4304466,1.7212789,4.520914,23.926418,37.514812,24.487417
130,232.4385,82.92408,211.61803,33.852715,20.880922,34.950428,4.268609,1.2259494,4.284257,4.138034,3.315194,4.9536724,23.475687,44.800003,26.352741
131,220.33215,46.160473,219.16151,35.776154,27.535545,36.29468,3.3934615,0.12501283,1.9305732,4.4488707,1.5675595,4.5663366,23.492254,40.11014,25.303572
132,201.36906,69.61798,231.69191,38.586983,21.67174,36.236702,4.2107964,1.8354044,1.8391181,3.6249654,2.7160714,4.5678926,24.155197,36.34068,25.1364
133,237.73943,65.76724,212.25252,37.941395,26.792007,36.506744,2.6600604,0.48137248,2.7804816,4.3722687,1.7522054,4.373438,23.365253,38.010483,25.443151
134,237.1941,65.560036,215.23672,38.444893,30.350033,33.74303,3.7502155,1.9578575,4.7734003,4.1837626,3.1988115,4.9741144,23.099127,40.391537,24.389732
135,219.92505,48.756454,203.77008,37.19552,37.402794,39.359528,2.9577448,0.09943479,3.426947,4.586333,1.4033387,4.384939,23.291302,39.085484,25.84582
136,231.60602,93.1156,202.87163,34.308754,20.336613,35.171577,3.7954357,1.4357905,4.6954827,4.2134185,3.5219345,4.834791,23.769194,40.93356,24.936531
137,207.54077,77.020134,188.85887,35.854065,25.516289,37.48786,3.0472305,1.1767652,4.742857,3.8107,3.320416,4.691395,23.253998,37.006004,25.66784
138,223.98941,66.01094,205.86061,35.228386,22.55166,37.37754,3.2745385,0.7105901,4.725817,4.664295,2.0674477,4.7664046,23.938707,44.475193,25.049809
139,233.41493,65.1054,203.73615,35.78386,32.825344,37.838425,2.0819805,0.4474717,4.5164247,4.4776473,2.0838735,4.6831713,23.8549,38.11984,26.43071
140,220.08788,49.834885,213.77226,35.86752,32.221184,34.557552,1.9773574,0.12033777,3.3268719,4.099285,1.5690769,4.778775,23.521217,46.589203,25.520947
141,247.5217,54.255333,248.33708,34.64965,33.890785,34.084137,2.7141309,0.65981334,2.2140124,4.703353,1.7400877,4.378292,23.95518,42.52065,25.75945
142,239.16167,67.33594,205.57635,36.48481,29.857561,37.676125,2.009426,0.035768703,4.3288608,4.4726906,1.1173357,4.4902296,23.975979,43.415203,26.073744
143,210.65033,80.61339,214.9366,36.404755,22.470242,37.94894,3.954934,1.6118541,3.8228035,4.164602,2.8412464,4.5842924,24.093723,42.717148,25.316904
144,228.61649,77.36926,215.73083,34.945282,26.21756,34.089592,1.8479917,1.4243093,3.9317446,4.9408674,2.5299191,4.740474,23.509565,32.055058,24.595394
145,227.70502,79.17016,206.31017,38.88498,21.776608,39.896824,1.7090021,0.75244194,4.011463,3.1500733,2.3638859,4.8834405,23.65693,45.069447,25.360046
146,241.66034,80.383125,219.05348,35.773323,20.369995,37.22922,1.2643148,1.2040898,3.352072,4.798865,2.4325607,4.3091326,24.598038,42.781418,25.857115
147,242.64896,66.20247,210.21043,34.852997,28.504646,37.908253,1.4626836,0.0015884055,4.263217,4.884337,1.8297291,4.4312367,23.62372,44.812866,25.86833
148,236.62735,75.11744,203.64392,37.384266,27.781452,37.542442,2.8012202,1.0761256,4.8222117,4.768429,1.952503,4.9070225,23.370815,40.40242,25.269428
149,242.86543,56.34498,188.24286,37.151817,37.502342,38.34813,0.67136407,0.51231277,4.374448,4.19412,1.8562169,4.2343864,24.169514,43.837685,24.734974
150,233.79643,66.65438,237.50888,37.244076,27.963974,33.815807,3.5353813,2.2891214,1.7811468,3.9617748,3.0143385,4.4795833,23.564295,38.786667,23.951765
151,219.32712,54.76226,181.16273,37.683296,34.184612,37.50071,2.2445867,0.057328768,4.4577456,4.7289224,1.2181289,4.918812,23.645048,35.446777,26.258205
152,216.54774,44.83519,238.40576,36.777477,38.724697,35.510506,4.583341,0.45235273,0.49681687,3.724336,1.3145074,4.472568,23.279049,40.67538,25.01363
153,238.32846,66.13014,205.86394,39.535954,24.842377,33.52141,0.32655364,0.95473737,4.1910295,3.0759,2.163087,4.9233646,23.824026,41.610107,23.890919
154,221.01051,60.556614,198.54903,35.007133,26.354303,39.570602,3.9625335,0.80613303,4.4165463,4.481969,2.0798154,4.738084,23.737165,39.54589,24.690353
155,213.13345,58.920193,206.76926,34.91381,28.475548,32.86494,3.5090356,0.5111766,3.1535766,4.674344,1.9134128,4.583683,23.756184,38.39508,24.89337
156,228.83046,70.42698,204.06462,37.26848,23.52499,36.1444,2.0528145,1.231897,4.317622,3.9090898,2.683897,4.6222334,23.843006,44.292698,25.189291
157,244.98613,69.75625,223.85127,39.181057,25.869907,36.760864,2.4681947,1.9467688,2.8961208,4.234149,2.7418706,4.638097,24.160027,40.59426,25.319666
158,224.08916,41.756554,219.36086,37.56671,34.897297,35.846992,2.4984715,0.6823393,1.1147555,4.335922,1.3158273,4.325299,23.592556,39.982426,24.606005
159,222.61615,57.286236,208.19325,35.886314,29.541695,36.039093,4.1883574,0.44121075,2.7971528,4.28061,1.2787931,4.3200617,24.164055,40.03914,25.4506
160,228.66423,44.40728,237.86429,38.563347,31.253141,37.133595,3.3194911,0.9046178,0.5080476,4.1362457,1.4372177,4.2017393,23.969599,39.76695,24.625591
